ID,assessment_date,domain,score
1,7/5/2020,Psychological Well-Being,3.290981079
1,7/5/2020,Psychological Well-Being,4.479059715
1,7/5/2020,Psychological Well-Being,5.372696839
2,1/16/2021,Psychological Well-Being,4.95704547
2,1/16/2021,Psychological Well-Being,5.306973742
2,1/16/2021,Psychological Well-Being,6.445742201
2,2/19/2021,Physical Wel-Being,7.146366568
2,2/19/2021,Physical Wel-Being,3.955101134
2,2/19/2021,Physical Wel-Being,6.363945271
2,4/6/2021,Social Well-Being,4.983148396
2,4/6/2021,Social Well-Being,5.601610588
2,4/6/2021,Social Well-Being,5.611968202
2,5/29/2021,Psychological Well-Being,5.07142245
2,5/29/2021,Psychological Well-Being,4.998119318
2,5/29/2021,Psychological Well-Being,4.990570174
3,6/29/2021,Physical Wel-Being,4.278290418
3,6/29/2021,Physical Wel-Being,3.901646118
3,6/29/2021,Physical Wel-Being,5.243152297
3,8/25/2021,Social Well-Being,4.579883264
3,8/25/2021,Social Well-Being,5.681931404
3,8/25/2021,Social Well-Being,5.026721126
3,8/30/2021,Psychological Well-Being,5.742101384
3,8/30/2021,Psychological Well-Being,4.744083197
3,8/30/2021,Psychological Well-Being,4.408579002
3,10/8/2021,Physical Wel-Being,5.105879039
3,10/8/2021,Physical Wel-Being,7.556197528
3,10/8/2021,Physical Wel-Being,4.917236289
3,11/30/2021,Social Well-Being,5.570600453
3,11/30/2021,Social Well-Being,6.227973087
3,11/30/2021,Social Well-Being,4.904987402
4,7/27/2020,Physical Wel-Being,4.992904019
4,7/27/2020,Physical Wel-Being,4.443517995
4,7/27/2020,Physical Wel-Being,5.870073072
4,8/24/2020,Social Well-Being,4.193653068
4,8/24/2020,Social Well-Being,5.295195987
4,8/24/2020,Social Well-Being,6.405222303
6,10/12/2020,Psychological Well-Being,5.180991487
6,10/12/2020,Psychological Well-Being,3.526554477
6,10/12/2020,Psychological Well-Being,5.349547333
6,11/2/2020,Physical Wel-Being,6.678588671
6,11/2/2020,Physical Wel-Being,4.100665671
6,11/2/2020,Physical Wel-Being,4.514397697
6,12/5/2020,Social Well-Being,4.78086556
6,12/5/2020,Social Well-Being,7.382569935
6,12/5/2020,Social Well-Being,5.902486624
